,instrumentID,tradedate
0,IC1505    ,2015-04-16
1,IC1505    ,2015-04-17
2,IC1505    ,2015-04-20
3,IC1505    ,2015-04-21
4,IC1505    ,2015-04-22
5,IC1505    ,2015-04-23
6,IC1505    ,2015-04-24
7,IC1505    ,2015-04-27
8,IC1505    ,2015-04-28
9,IC1505    ,2015-04-29
10,IC1505    ,2015-04-30
11,IC1505    ,2015-05-04
12,IC1505    ,2015-05-05
13,IC1505    ,2015-05-06
14,IC1505    ,2015-05-07
15,IC1505    ,2015-05-08
16,IC1505    ,2015-05-11
17,IC1505    ,2015-05-12
18,IC1505    ,2015-05-13
19,IC1505    ,2015-05-14
20,IC1505    ,2015-05-15
21,IC1506    ,2015-05-18
22,IC1506    ,2015-05-19
23,IC1506    ,2015-05-20
24,IC1506    ,2015-05-21
25,IC1506    ,2015-05-22
26,IC1506    ,2015-05-25
27,IC1506    ,2015-05-26
28,IC1506    ,2015-05-27
29,IC1506    ,2015-05-28
30,IC1506    ,2015-05-29
31,IC1506    ,2015-06-01
32,IC1506    ,2015-06-02
33,IC1506    ,2015-06-03
34,IC1506    ,2015-06-04
35,IC1506    ,2015-06-05
36,IC1506    ,2015-06-08
37,IC1506    ,2015-06-09
38,IC1506    ,2015-06-10
39,IC1506    ,2015-06-11
40,IC1506    ,2015-06-12
41,IC1506    ,2015-06-15
42,IC1506    ,2015-06-16
43,IC1506    ,2015-06-17
44,IC1506    ,2015-06-18
45,IC1507    ,2015-06-19
46,IC1507    ,2015-06-23
47,IC1507    ,2015-06-24
48,IC1507    ,2015-06-25
49,IC1507    ,2015-06-26
50,IC1507    ,2015-06-29
51,IC1507    ,2015-06-30
52,IC1507    ,2015-07-01
53,IC1507    ,2015-07-02
54,IC1507    ,2015-07-03
55,IC1507    ,2015-07-06
56,IC1507    ,2015-07-07
57,IC1507    ,2015-07-08
58,IC1507    ,2015-07-09
59,IC1507    ,2015-07-10
60,IC1507    ,2015-07-13
61,IC1507    ,2015-07-14
62,IC1507    ,2015-07-15
63,IC1507    ,2015-07-16
64,IC1508    ,2015-07-17
65,IC1508    ,2015-07-20
66,IC1508    ,2015-07-21
67,IC1508    ,2015-07-22
68,IC1508    ,2015-07-23
69,IC1508    ,2015-07-24
70,IC1508    ,2015-07-27
71,IC1508    ,2015-07-28
72,IC1508    ,2015-07-29
73,IC1508    ,2015-07-30
74,IC1508    ,2015-07-31
75,IC1508    ,2015-08-03
76,IC1508    ,2015-08-04
77,IC1508    ,2015-08-05
78,IC1508    ,2015-08-06
79,IC1508    ,2015-08-07
80,IC1508    ,2015-08-10
81,IC1508    ,2015-08-11
82,IC1508    ,2015-08-12
