,instrumentID,tradedate
0,IH1505    ,2015-04-16
1,IH1505    ,2015-04-17
2,IH1505    ,2015-04-20
3,IH1505    ,2015-04-21
4,IH1505    ,2015-04-22
5,IH1505    ,2015-04-23
6,IH1505    ,2015-04-24
7,IH1505    ,2015-04-27
8,IH1505    ,2015-04-28
9,IH1505    ,2015-04-29
10,IH1505    ,2015-04-30
11,IH1505    ,2015-05-04
12,IH1505    ,2015-05-05
13,IH1505    ,2015-05-06
14,IH1505    ,2015-05-07
15,IH1505    ,2015-05-08
16,IH1505    ,2015-05-11
17,IH1505    ,2015-05-12
18,IH1505    ,2015-05-13
19,IH1505    ,2015-05-14
20,IH1505    ,2015-05-15
21,IH1506    ,2015-05-18
22,IH1506    ,2015-05-19
23,IH1506    ,2015-05-20
24,IH1506    ,2015-05-21
25,IH1506    ,2015-05-22
26,IH1506    ,2015-05-25
27,IH1506    ,2015-05-26
28,IH1506    ,2015-05-27
29,IH1506    ,2015-05-28
30,IH1506    ,2015-05-29
31,IH1506    ,2015-06-01
32,IH1506    ,2015-06-02
33,IH1506    ,2015-06-03
34,IH1506    ,2015-06-04
35,IH1506    ,2015-06-05
36,IH1506    ,2015-06-08
37,IH1506    ,2015-06-09
38,IH1506    ,2015-06-10
39,IH1506    ,2015-06-11
40,IH1506    ,2015-06-12
41,IH1506    ,2015-06-15
42,IH1506    ,2015-06-16
43,IH1506    ,2015-06-17
44,IH1506    ,2015-06-18
45,IH1507    ,2015-06-19
46,IH1507    ,2015-06-23
47,IH1507    ,2015-06-24
48,IH1507    ,2015-06-25
49,IH1507    ,2015-06-26
50,IH1507    ,2015-06-29
51,IH1507    ,2015-06-30
52,IH1507    ,2015-07-01
53,IH1507    ,2015-07-02
54,IH1507    ,2015-07-03
55,IH1507    ,2015-07-06
56,IH1507    ,2015-07-07
57,IH1507    ,2015-07-08
58,IH1507    ,2015-07-09
59,IH1507    ,2015-07-10
60,IH1507    ,2015-07-13
61,IH1507    ,2015-07-14
62,IH1507    ,2015-07-15
63,IH1507    ,2015-07-16
64,IH1508    ,2015-07-17
65,IH1508    ,2015-07-20
66,IH1508    ,2015-07-21
67,IH1508    ,2015-07-22
68,IH1508    ,2015-07-23
69,IH1508    ,2015-07-24
70,IH1508    ,2015-07-27
71,IH1508    ,2015-07-28
72,IH1508    ,2015-07-29
73,IH1508    ,2015-07-30
74,IH1508    ,2015-07-31
75,IH1508    ,2015-08-03
76,IH1508    ,2015-08-04
77,IH1508    ,2015-08-05
78,IH1508    ,2015-08-06
79,IH1508    ,2015-08-07
80,IH1508    ,2015-08-10
81,IH1508    ,2015-08-11
82,IH1508    ,2015-08-12
83,IH1508    ,2015-08-13
84,IH1508    ,2015-08-14
85,IH1508    ,2015-08-17
86,IH1508    ,2015-08-18
87,IH1508    ,2015-08-19
88,IH1508    ,2015-08-20
89,IH1509    ,2015-08-21
90,IH1509    ,2015-08-24
91,IH1509    ,2015-08-25
92,IH1509    ,2015-08-26
93,IH1509    ,2015-08-27
94,IH1509    ,2015-08-28
95,IH1509    ,2015-08-31
96,IH1509    ,2015-09-01
97,IH1509    ,2015-09-02
98,IH1509    ,2015-09-07
99,IH1509    ,2015-09-08
100,IH1509    ,2015-09-09
101,IH1509    ,2015-09-10
102,IH1509    ,2015-09-11
103,IH1509    ,2015-09-14
104,IH1509    ,2015-09-15
105,IH1509    ,2015-09-16
106,IH1509    ,2015-09-17
107,IH1510    ,2015-09-18
108,IH1510    ,2015-09-21
109,IH1510    ,2015-09-22
110,IH1510    ,2015-09-23
111,IH1510    ,2015-09-24
112,IH1510    ,2015-09-25
113,IH1510    ,2015-09-28
114,IH1510    ,2015-09-29
115,IH1510    ,2015-09-30
116,IH1510    ,2015-10-08
117,IH1510    ,2015-10-09
118,IH1510    ,2015-10-12
119,IH1510    ,2015-10-13
