,instrumentID_IC,tradedate,instrumentID_IH
0,IC1505    ,2015/4/16,IH1505    
1,IC1505    ,2015/4/17,IH1505    
2,IC1505    ,2015/4/20,IH1505    
3,IC1505    ,2015/4/21,IH1505    
4,IC1505    ,2015/4/22,IH1505    
5,IC1505    ,2015/4/23,IH1505    
6,IC1505    ,2015/4/24,IH1505    
7,IC1505    ,2015/4/27,IH1505    
8,IC1505    ,2015/4/28,IH1505    
9,IC1505    ,2015/4/29,IH1505    
10,IC1505    ,2015/4/30,IH1505    
11,IC1505    ,2015/5/4,IH1505    
12,IC1505    ,2015/5/5,IH1505    
13,IC1505    ,2015/5/6,IH1505    
14,IC1505    ,2015/5/7,IH1505    
15,IC1505    ,2015/5/8,IH1505    
16,IC1505    ,2015/5/11,IH1505    
17,IC1505    ,2015/5/12,IH1505    
18,IC1505    ,2015/5/13,IH1505    
19,IC1505    ,2015/5/14,IH1505    
20,IC1505    ,2015/5/15,IH1505    
21,IC1506    ,2015/5/18,IH1506    
22,IC1506    ,2015/5/19,IH1506    
23,IC1506    ,2015/5/20,IH1506    
24,IC1506    ,2015/5/21,IH1506    
25,IC1506    ,2015/5/22,IH1506    
26,IC1506    ,2015/5/25,IH1506    
27,IC1506    ,2015/5/26,IH1506    
28,IC1506    ,2015/5/27,IH1506    
29,IC1506    ,2015/5/28,IH1506    
30,IC1506    ,2015/5/29,IH1506    
31,IC1506    ,2015/6/1,IH1506    
32,IC1506    ,2015/6/2,IH1506    
33,IC1506    ,2015/6/3,IH1506    
34,IC1506    ,2015/6/4,IH1506    
35,IC1506    ,2015/6/5,IH1506    
36,IC1506    ,2015/6/8,IH1506    
37,IC1506    ,2015/6/9,IH1506    
38,IC1506    ,2015/6/10,IH1506    
39,IC1506    ,2015/6/11,IH1506    
40,IC1506    ,2015/6/12,IH1506    
41,IC1506    ,2015/6/15,IH1506    
42,IC1506    ,2015/6/16,IH1506    
43,IC1506    ,2015/6/17,IH1506    
44,IC1506    ,2015/6/18,IH1506    
45,IC1507    ,2015/6/19,IH1507    
46,IC1507    ,2015/6/23,IH1507    
47,IC1507    ,2015/6/24,IH1507    
48,IC1507    ,2015/6/25,IH1507    
49,IC1507    ,2015/6/26,IH1507    
50,IC1507    ,2015/6/29,IH1507    
51,IC1507    ,2015/6/30,IH1507    
52,IC1507    ,2015/7/1,IH1507    
53,IC1507    ,2015/7/2,IH1507    
54,IC1507    ,2015/7/3,IH1507    
55,IC1507    ,2015/7/6,IH1507    
56,IC1507    ,2015/7/7,IH1507    
57,IC1507    ,2015/7/8,IH1507    
58,IC1507    ,2015/7/9,IH1507    
59,IC1507    ,2015/7/10,IH1507    
60,IC1507    ,2015/7/13,IH1507    
61,IC1507    ,2015/7/14,IH1507    
62,IC1507    ,2015/7/15,IH1507    
63,IC1507    ,2015/7/16,IH1507    
64,IC1508    ,2015/7/17,IH1508    
65,IC1508    ,2015/7/20,IH1508    
66,IC1508    ,2015/7/21,IH1508    
67,IC1508    ,2015/7/22,IH1508    
68,IC1508    ,2015/7/23,IH1508    
69,IC1508    ,2015/7/24,IH1508    
70,IC1508    ,2015/7/27,IH1508    
71,IC1508    ,2015/7/28,IH1508    
72,IC1508    ,2015/7/29,IH1508    
73,IC1508    ,2015/7/30,IH1508    
74,IC1508    ,2015/7/31,IH1508    
75,IC1508    ,2015/8/3,IH1508    
76,IC1508    ,2015/8/4,IH1508    
77,IC1508    ,2015/8/5,IH1508    
78,IC1508    ,2015/8/6,IH1508    
79,IC1508    ,2015/8/7,IH1508    
80,IC1508    ,2015/8/10,IH1508    
81,IC1508    ,2015/8/11,IH1508    
82,IC1508    ,2015/8/12,IH1508    
83,IC1508    ,2015/8/13,IH1508    
