,Unnamed: 0,Unnamed: 0.1,instrumentID_IC,tradedate,instrumentID_IH,ICopen,ICopen2,ICopen_ret,ICclose,IC_rest_of_the_day,IHopen,IHopen2,IHopen_ret,IHclose,IH_rest_of_the_day,dopen,signal,drest,ret,cum,fee_cum,fee_ret
0,0,0,IC1505.CCFX,2015/4/16,IH1505.CCFX,7527.4,7529.4,0.000265696,7707.8,0.023693787,3112.8,3100.2,-0.004047803,3283.8,0.059221986,0.004313499,1,-0.035528199,-0.035528199,1,1,-0.035928199
1,1,1,IC1505.CCFX,2015/4/17,IH1505.CCFX,7663,7723.2,0.007855931,7758.2,0.0045318,3340.4,3320,-0.006107053,3254,-0.019879518,0.013962984,1,0.024411318,0.024411318,1.024411318,1.024011318,0.024011318
2,2,2,IC1505.CCFX,2015/4/20,IH1505.CCFX,7677.4,7712,0.004506734,7622.2,-0.011644191,3273,3263.8,-0.002810877,3146.8,-0.035847785,0.007317611,1,0.024203594,0.024203594,1.049205754,1.048386468,0.023803594
3,3,3,IC1505.CCFX,2015/4/21,IH1505.CCFX,7655,7679.4,0.003187459,8140.4,0.060030732,3191.2,3202,0.003384307,3234,0.009993754,-0.000196848,-1,0.050036978,-0.050036978,0.996706669,0.995509023,-0.050436978
4,4,4,IC1505.CCFX,2015/4/22,IH1505.CCFX,8127.6,8130.6,0.000369113,8189.8,0.007281135,3267.4,3254.8,-0.003856277,3308,0.01634509,0.00422539,1,-0.009063955,-0.009063955,0.987672565,0.986087571,-0.009463955
5,5,5,IC1505.CCFX,2015/4/23,IH1505.CCFX,8196,8228,0.003904344,8265.6,0.004569762,3339.2,3339.6,0.000119789,3267.8,-0.021499581,0.003784554,1,0.026069343,0.026069343,1.013420539,1.01139979,0.025669343
6,6,6,IC1505.CCFX,2015/4/24,IH1505.CCFX,8169,8181.8,0.001566899,8327.2,0.017771151,3253,3259.2,0.001905933,3233,-0.008038783,-0.000339034,-1,0.025809933,-0.025809933,0.987264223,0.984891069,-0.026209933
7,7,7,IC1505.CCFX,2015/4/27,IH1505.CCFX,8460.2,8460,-2.36E-05,8347.2,-0.013333333,3274.4,3277.4,0.000916198,3357.6,0.024470617,-0.000939838,-1,-0.03780395,0.03780395,1.02458671,1.021729886,0.03740395
8,8,8,IC1505.CCFX,2015/4/28,IH1505.CCFX,8409,8399,-0.001189202,8147,-0.030003572,3324.8,3334.4,0.002887392,3286.8,-0.014275432,-0.004076594,-1,-0.01572814,0.01572814,1.040701554,1.037391105,0.01532814
9,9,9,IC1505.CCFX,2015/4/29,IH1505.CCFX,8120,8126.4,0.000788177,8302.2,0.021633196,3291.2,3291.8,0.000182304,3295.2,0.00103287,0.000605873,1,0.020600326,0.020600326,1.062140345,1.058346743,0.020200326
10,10,10,IC1505.CCFX,2015/4/30,IH1505.CCFX,8369.6,8394,0.002915313,8338.8,-0.006576126,3319.2,3319.4,6.03E-05,3269.4,-0.015062963,0.002855057,1,0.008486837,0.008486837,1.071154557,1.066905421,0.008086837
