,open_IC,close_IC,high_IC,low_IC,preclose_IC,pre2close_IC,tradedate,ret_IC,preret_IC,open_IH,close_IH,high_IH,low_IH,preclose_IH,pre2close_IH,ret_IH,preret_IH,dpreret,signal,cum,ICmIH_i,ret,ICpre_last_vol,ICpre_last_ret,IHpre_last_vol,IHpre_last_ret,IClastmean,IClaststd,IHlastmean,IHlaststd,IClast_stdzd,IHlast_stdzd,dlast_stdzd,instrumentID_IC,instrumentID_IH,ICprice,IHprice,ICpreclose,IHpreclose,ICpre2close,IHpre2close,ICreturn,IHreturn,ICpreret,IHpreret,ICmIH_f,dret
43,9951.78,10046.88,10074.83,9333.91,9987.41,10731.38,2015-06-23,0.005954496711359614,-0.06932659173377509,2907.07,3003.16,3007.63,2822.47,2903.06,3068.49,0.034480858129008585,-0.05391251071373858,-0.015414081020036496,1.0,0.9443801143801145,-0.028526361417648968,-0.05561988561988551,99860800.0,0.00038763805223385184,145875200.0,-0.0005473981374692903,155362986.66666666,23514698.481026854,96175626.66666669,27123414.07519423,-2.360318875083571,1.8323494673477023,-4.192668342431273,IC1507.CCFX,IH1507.CCFX,9862.6,2982.6,9990.0,2860.0,10585.0,3103.6,-0.012752752752752672,0.04286713286713284,-0.05621162021728865,-0.07848949606908108,-0.05561988561988551,0.022277875851792417
47,9267.03,8484.64,9281.17,8339.33,9078.07,9906.1,2015-06-29,-0.06536962151646775,-0.0835878902898215,2802.77,2678.37,2822.11,2530.83,2736.7,2943.99,-0.02131399130339462,-0.07041124460341243,-0.013176645686409085,-1.0,1.026208720117647,-0.04405563021307314,0.08664795508876666,49051200.0,0.00025894393120684533,115835200.0,0.0004021055709899634,153454720.0,27333522.056642525,97101306.66666669,28247906.20555607,-3.819614603037522,0.6631958204976109,-4.482810423535133,IC1507.CCFX,IH1507.CCFX,7768.4,2654.8,8629.0,2690.0,9381.6,2919.2,-0.09973345694750267,-0.013085501858736026,-0.08022085784940736,-0.07851466155110988,-0.08664795508876666,-0.001706196298297491
51,7530.27,7355.49,7930.15,7249.31,7835.1,8411.91,2015-07-03,-0.06121300302484978,-0.06857063377996198,2674.56,2582.27,2738.66,2511.16,2714.25,2736.85,-0.048624850326977935,-0.008257668487494763,-0.06031296529246721,-1.0,1.0073328831948487,-0.012588152697871837,-0.018393760014662863,98796800.0,0.0004251912402943869,279963200.0,0.0008444077346272394,149164800.0,35268053.016976625,103532853.33333331,26515375.35871629,-1.428148017577122,6.653888330065426,-8.082036347642548,IC1507.CCFX,IH1507.CCFX,7404.8,2596.0,7667.8,2740.4,7509.4,2696.2,-0.034299277498109015,-0.05269303751277188,0.021093562734705973,0.016393442622950838,0.018393760014662863,0.004700120111755135
54,6444.67,6602.37,6702.28,6444.25,6763.53,7236.0,2015-07-08,-0.023827794066116348,-0.06529436152570489,2596.71,2608.98,2760.52,2546.46,2812.45,2750.0,-0.0723461750431118,0.02270909090909079,-0.08800345243479568,-1.0,1.003338613911875,0.04851838097699546,-0.003965192985962762,44035200.0,-3.104791136265828e-05,290787200.0,0.0011818605760500756,144669226.66666666,37959092.70685402,114269093.33333331,40746343.46157865,-2.6511178084215863,4.3321214045405725,-6.983239212962159,IC1507.CCFX,IH1507.CCFX,5956.6,2500.2,6516.2,2747.0,7440.0,2756.8,-0.0858782726128724,-0.08984346559883516,-0.12416666666666665,-0.0035548461984911133,0.003965192985962762,-0.12061182046817552
55,6525.12,6896.35,6896.49,6525.12,6602.37,6763.53,2015-07-09,0.0445264352043282,-0.023827794066116348,2575.34,2781.08,2828.75,2493.64,2608.98,2812.45,0.06596447653872395,-0.0723461750431118,0.04851838097699546,1.0,1.0028549694793956,-0.021438041334395752,-0.0004820351033771874,159539200.0,-0.00011055413366456436,324153600.0,-0.00042144302090352253,139936320.0,41327539.06405883,119849200.0,51957908.49646386,0.47432971921253264,3.9321136264348384,-3.4577839072223058,IC1507.CCFX,IH1507.CCFX,6552.2,2751.4,5956.6,2500.2,6516.2,2747.0,0.0999899271396434,0.10047196224302056,-0.0858782726128724,-0.08984346559883516,-0.0004820351033771874,0.003965192985962762
56,7101.82,7244.78,7245.33,7081.35,6896.35,6602.37,2015-07-10,0.05052382782196374,0.0445264352043282,2749.12,2898.41,2997.6,2717.71,2781.08,2608.98,0.042188646137471635,0.06596447653872395,-0.021438041334395752,-1.0,0.9396046136511844,0.008335181684492099,-0.06307029206929671,3868000.0,1.450044516460025e-06,151395200.0,0.00010428691127351009,138818613.33333334,40281151.35014896,126938480.0,63910371.14592551,-3.3502173798424533,0.38267216355477535,-3.7328895433972287,IC1507.CCFX,IH1507.CCFX,7207.4,2853.0,6552.2,2751.4,5956.6,2500.2,0.09999694759012234,0.036926655520825635,0.0999899271396434,0.10047196224302056,0.06307029206929671,-0.0004820351033771874
57,7563.38,7695.64,7695.67,7502.55,7244.78,6896.35,2015-07-13,0.06223239353023846,0.05052382782196374,2855.7,2869.05,2949.2,2805.91,2898.41,2781.08,-0.010129691796536557,0.042188646137471635,0.008335181684492099,-1.0,0.8746014975399693,0.07236208532677503,-0.06918135050297514,7409600.0,0.0,224928000.0,0.0002208594885031445,133063173.33333331,46553728.55427876,128620026.66666669,63866609.47555248,-2.699108690871646,1.5079550037833005,-4.207063694654947,IC1507.CCFX,IH1507.CCFX,7569.6,2799.0,7207.4,2853.0,6552.2,2751.4,0.05025390570802246,-0.018927444794952675,0.09999694759012234,0.036926655520825635,0.06918135050297514,0.06307029206929671
93,6507.88,6169.21,6507.88,6161.03,6581.31,6842.89,2015-09-01,-0.06261671308599659,-0.03822653878697446,2155.96,2230.32,2239.46,2103.48,2210.45,2159.96,0.008989119862471641,0.023375432878386608,-0.06160197166536108,-1.0,0.9537684164722156,-0.07160583294846823,0.09051770338253763,157416800.0,0.0003830491625360644,360421600.0,0.004114292972134281,135503280.0,38091588.47220009,79838973.33333333,21277045.58378452,0.5752850138027946,13.187104645792642,-12.611819631989848,IC1509.CCFX,IH1509.CCFX,5373.0,2036.0,5961.4,2052.8,6402.6,2073.0,-0.09870164726406537,-0.008183943881527767,-0.06890950551338526,-0.0097443318861552,-0.09051770338253763,-0.05916517362723006
94,5878.21,6122.55,6314.29,5866.66,6169.21,6581.31,2015-09-02,-0.00756336710859251,-0.06261671308599659,2143.24,2243.63,2248.77,2137.19,2230.32,2210.45,0.00596775350622325,0.008989119862471641,-0.07160583294846823,1.0,0.9676888102233184,-0.01353112061481576,0.014595150678810788,92247200.0,2.9178006915264728e-05,424630400.0,1.793496780666537e-05,136737813.33333334,38184621.85435145,89421373.33333333,55414781.61568225,-1.1651447931849368,6.049090457333921,-7.214235250518858,IC1509.CCFX,IH1509.CCFX,5377.0,2007.8,5373.0,2036.0,5961.4,2052.8,0.0007444630560209388,-0.013850687622789848,-0.09870164726406537,-0.008183943881527767,0.014595150678810788,-0.09051770338253763
95,6187.69,6143.56,6379.2,6094.49,6122.55,6169.21,2015-09-07,0.003431576712317641,-0.00756336710859251,2215.18,2133.98,2247.44,2127.48,2243.63,2230.32,-0.04887169453073813,0.00596775350622325,-0.01353112061481576,-1.0,0.9139577457831446,0.05230327124305578,-0.05552514803573483,215934400.0,-0.00030533503580743027,543102400.0,0.000977050467556584,135553946.66666666,39014020.38895965,101183613.33333331,82411062.69953103,2.0602965941977036,5.362372140229438,-3.302075546031735,IC1509.CCFX,IH1509.CCFX,5795.0,2052.4,5377.0,2007.8,5373.0,2036.0,0.07773851590106018,0.02221336786532535,0.0007444630560209388,-0.013850687622789848,0.05552514803573483,0.014595150678810788
