,open_IC,close_IC,high_IC,low_IC,preclose_IC,pre2close_IC,tradedate,ret_IC,preret_IC,open_IH,close_IH,high_IH,low_IH,preclose_IH,pre2close_IH,ret_IH,preret_IH,dpreret,signal,cum,ICmIH_i,ret,ICpre_last_vol,ICpre_last_ret,IHpre_last_vol,IHpre_last_ret,IClastmean,IClaststd,IHlastmean,IHlaststd,IClast_stdzd,IHlast_stdzd,dlast_stdzd,instrumentID_IC,instrumentID_IH,ICprice,IHprice,ICpreclose,IHpreclose,ICpre2close,IHpre2close,ICreturn,IHreturn,ICpreret,IHpreret,ICmIH_f,dret
51,7530.27,7355.49,7930.15,7249.31,7835.1,8411.91,2015-07-03,-0.06121300302484978,-0.06857063377996198,2674.56,2582.27,2738.66,2511.16,2714.25,2736.85,-0.048624850326977935,-0.008257668487494763,-0.06031296529246721,1.0,0.9473069624872281,-0.012588152697871837,-0.05269303751277188,98796800.0,0.0004251912402943869,279963200.0,0.0008444077346272394,149164800.0,35268053.016976625,103532853.33333331,26515375.35871629,-1.428148017577122,6.653888330065426,-8.082036347642548,IC1507.CCFX,IH1507.CCFX,7404.8,2596.0,7667.8,2740.4,7509.4,2696.2,-0.034299277498109015,-0.05269303751277188,0.021093562734705973,0.016393442622950838,0.018393760014662863,0.004700120111755135
54,6444.67,6602.37,6702.28,6444.25,6763.53,7236.0,2015-07-08,-0.023827794066116348,-0.06529436152570489,2596.71,2608.98,2760.52,2546.46,2812.45,2750.0,-0.0723461750431118,0.02270909090909079,-0.08800345243479568,1.0,0.8621976219914698,0.04851838097699546,-0.08984346559883516,44035200.0,-3.104791136265828e-05,290787200.0,0.0011818605760500756,144669226.66666666,37959092.70685402,114269093.33333331,40746343.46157865,-2.6511178084215863,4.3321214045405725,-6.983239212962159,IC1507.CCFX,IH1507.CCFX,5956.6,2500.2,6516.2,2747.0,7440.0,2756.8,-0.0858782726128724,-0.08984346559883516,-0.12416666666666665,-0.0035548461984911133,0.003965192985962762,-0.12061182046817552
55,6525.12,6896.35,6896.49,6525.12,6602.37,6763.53,2015-07-09,0.0445264352043282,-0.023827794066116348,2575.34,2781.08,2828.75,2493.64,2608.98,2812.45,0.06596447653872395,-0.0723461750431118,0.04851838097699546,-1.0,0.7755709350687207,-0.021438041334395752,-0.10047196224302056,159539200.0,-0.00011055413366456436,324153600.0,-0.00042144302090352253,139936320.0,41327539.06405883,119849200.0,51957908.49646386,0.47432971921253264,3.9321136264348384,-3.4577839072223058,IC1507.CCFX,IH1507.CCFX,6552.2,2751.4,5956.6,2500.2,6516.2,2747.0,0.0999899271396434,0.10047196224302056,-0.0858782726128724,-0.08984346559883516,-0.0004820351033771874,0.003965192985962762
93,6507.88,6169.21,6507.88,6161.03,6581.31,6842.89,2015-09-01,-0.06261671308599659,-0.03822653878697446,2155.96,2230.32,2239.46,2103.48,2210.45,2159.96,0.008989119862471641,0.023375432878386608,-0.06160197166536108,1.0,0.7692237060599743,-0.07160583294846823,-0.008183943881527767,157416800.0,0.0003830491625360644,360421600.0,0.004114292972134281,135503280.0,38091588.47220009,79838973.33333333,21277045.58378452,0.5752850138027946,13.187104645792642,-12.611819631989848,IC1509.CCFX,IH1509.CCFX,5373.0,2036.0,5961.4,2052.8,6402.6,2073.0,-0.09870164726406537,-0.008183943881527767,-0.06890950551338526,-0.0097443318861552,-0.09051770338253763,-0.05916517362723006
94,5878.21,6122.55,6314.29,5866.66,6169.21,6581.31,2015-09-02,-0.00756336710859251,-0.06261671308599659,2143.24,2243.63,2248.77,2137.19,2230.32,2210.45,0.00596775350622325,0.008989119862471641,-0.07160583294846823,1.0,0.7585694287952929,-0.01353112061481576,-0.013850687622789848,92247200.0,2.9178006915264728e-05,424630400.0,1.793496780666537e-05,136737813.33333334,38184621.85435145,89421373.33333333,55414781.61568225,-1.1651447931849368,6.049090457333921,-7.214235250518858,IC1509.CCFX,IH1509.CCFX,5377.0,2007.8,5373.0,2036.0,5961.4,2052.8,0.0007444630560209388,-0.013850687622789848,-0.09870164726406537,-0.008183943881527767,0.014595150678810788,-0.09051770338253763
95,6187.69,6143.56,6379.2,6094.49,6122.55,6169.21,2015-09-07,0.003431576712317641,-0.00756336710859251,2215.18,2133.98,2247.44,2127.48,2243.63,2230.32,-0.04887169453073813,0.00596775350622325,-0.01353112061481576,1.0,0.7754198105685124,0.05230327124305578,0.02221336786532535,215934400.0,-0.00030533503580743027,543102400.0,0.000977050467556584,135553946.66666666,39014020.38895965,101183613.33333331,82411062.69953103,2.0602965941977036,5.362372140229438,-3.302075546031735,IC1509.CCFX,IH1509.CCFX,5795.0,2052.4,5377.0,2007.8,5373.0,2036.0,0.07773851590106018,0.02221336786532535,0.0007444630560209388,-0.013850687622789848,0.05552514803573483,0.014595150678810788
174,7615.51,6983.4,7624.1,6983.28,7617.69,7741.05,2016-01-04,-0.08326539935334731,-0.015935822659716825,2417.03,2270.46,2417.03,2269.97,2420.8,2432.77,-0.06210343688037024,-0.004920317169317179,-0.011015505490399645,1.0,0.7316628654644285,-0.02116196247297708,-0.05643000669792375,129852000.0,-0.00010369522529429799,106669400.0,0.000371916194884081,114229813.33333331,21798728.148595463,37898166.66666666,12135165.588922512,0.7166558782776167,5.6671030015536505,-4.950447123276033,IC1601.CCFX,IH1601.CCFX,6881.2,2254.0,7349.0,2388.8,7511.4,2404.6,-0.0636549190366037,-0.05643000669792375,-0.021620470218601032,-0.006570739416118965,-0.007224912338679945,-0.015049730802482062
214,5686.69,5752.55,5788.47,5681.85,5621.56,5776.98,2016-03-07,0.023301361187997527,-0.026903330113657864,2122.55,2107.67,2133.56,2097.78,2122.27,2053.27,-0.006879426274696399,0.03360493261967501,-0.060508262733332874,1.0,0.7330558456937754,0.030180787462693925,0.0019038553069967712,93778400.0,2.6683696795037907e-05,135941600.0,0.0015384542781768928,88468626.66666667,17108776.62042329,31474833.33333333,12607083.862772588,0.3103537705317213,8.286354545093985,-7.976000774562264,IC1603.CCFX,IH1603.CCFX,5595.0,2105.0,5452.0,2101.0,5603.8,2027.8,0.02622890682318424,0.0019038553069967712,-0.027088761197758715,0.03609823453989547,0.024325051516187468,-0.06318699573765417
217,5617.42,5521.95,5657.26,5517.02,5617.04,5764.33,2016-03-10,-0.016928845085667943,-0.02555197221533123,2089.86,2061.45,2102.99,2060.06,2111.92,2115.16,-0.023897685518391,-0.0015317990128405068,-0.024020173202490724,1.0,0.721905097294852,0.006968840432723057,-0.01521132184461349,95391200.0,-6.586665384933355e-05,221525200.0,0.001508057015471742,91105933.33333331,18773992.71320313,36395060.0,23103555.66330223,0.22825547725141068,8.013058366338882,-7.784802889087471,IC1603.CCFX,IH1603.CCFX,5396.0,2045.8,5500.0,2077.4,5661.0,2100.8,-0.018909090909090875,-0.01521132184461349,-0.028440204910793125,-0.011138613861386149,-0.0036977690644773853,-0.017301591049406984
293,6127.99,6123.49,6143.23,6090.9,6120.2,6107.51,2016-06-30,0.0005375641318912107,0.0020777698276384093,2123.87,2122.63,2130.98,2120.41,2122.97,2102.05,-0.00016015299321214818,0.009952189529268908,-0.007874419701630497,1.0,0.7222488943694757,0.0006977171251033588,0.00047623583198408426,100633600.0,3.267877742185732e-06,66040600.0,0.0006928588263022117,92049506.66666669,19892550.042856347,19135296.666666668,9249275.109172067,0.43152302318404695,5.071241019398328,-4.639717996214281,IC1607.CCFX,IH1607.CCFX,6051.6,2100.8,6050.4,2099.8,6037.0,2078.6,0.00019833399444668665,0.00047623583198408426,0.0022196455192975413,0.010199172519965494,-0.0002779018375373976,-0.007979527000667952
